1d-interleaved-parityfec,application/1d-interleaved-parityfec
riscos,application/riscos
rlmi+xml,application/rlmi+xml
rls-services+xml,application/rls-services+xml
rpki-ghostbusters,application/rpki-ghostbusters
rpki-manifest,application/rpki-manifest
rpki-publication,application/rpki-publication
rpki-roa,application/rpki-roa
rpki-updown,application/rpki-updown
rtf,application/rtf
rtploopback,application/rtploopback
rtx,application/rtx
samlassertion+xml,application/samlassertion+xml
samlmetadata+xml,application/samlmetadata+xml
sarif-external-properties+json,application/sarif-external-properties+json
sarif+json,application/sarif+json
sbe,application/sbe
sbml+xml,application/sbml+xml
scaip+xml,application/scaip+xml
scim+json,application/scim+json
scvp-cv-request,application/scvp-cv-request
scvp-cv-response,application/scvp-cv-response
scvp-vp-request,application/scvp-vp-request
scvp-vp-response,application/scvp-vp-response
sdp,application/sdp
secevent+jwt,application/secevent+jwt
senml-etch+cbor,application/senml-etch+cbor
senml-etch+json,application/senml-etch+json
senml-exi,application/senml-exi
senml+cbor,application/senml+cbor
senml+json,application/senml+json
senml+xml,application/senml+xml
sensml-exi,application/sensml-exi
sensml+cbor,application/sensml+cbor
sensml+json,application/sensml+json
sensml+xml,application/sensml+xml
sep-exi,application/sep-exi
sep+xml,application/sep+xml
session-info,application/session-info
set-payment,application/set-payment
set-payment-initiation,application/set-payment-initiation
set-registration,application/set-registration
set-registration-initiation,application/set-registration-initiation
SGML,application/SGML
sgml-open-catalog,application/sgml-open-catalog
shf+xml,application/shf+xml
sieve,application/sieve
simple-filter+xml,application/simple-filter+xml
simple-message-summary,application/simple-message-summary
simpleSymbolContainer,application/simpleSymbolContainer
sipc,application/sipc
slate,application/slate
smil (OBSOLETED in favor of application/smil+xml),application/smil
smil+xml,application/smil+xml
smpte336m,application/smpte336m
soap+fastinfoset,application/soap+fastinfoset
soap+xml,application/soap+xml
sparql-query,application/sparql-query
spdx+json,application/spdx+json
sparql-results+xml,application/sparql-results+xml
spirits-event+xml,application/spirits-event+xml
sql,application/sql
srgs,application/srgs
srgs+xml,application/srgs+xml
sru+xml,application/sru+xml
ssml+xml,application/ssml+xml
stix+json,application/stix+json
swid+xml,application/swid+xml
tamp-apex-update,application/tamp-apex-update
tamp-apex-update-confirm,application/tamp-apex-update-confirm
tamp-community-update,application/tamp-community-update
tamp-community-update-confirm,application/tamp-community-update-confirm
tamp-error,application/tamp-error
tamp-sequence-adjust,application/tamp-sequence-adjust
tamp-sequence-adjust-confirm,application/tamp-sequence-adjust-confirm
tamp-status-query,application/tamp-status-query
tamp-status-response,application/tamp-status-response
tamp-update,application/tamp-update
tamp-update-confirm,application/tamp-update-confirm
taxii+json,application/taxii+json
td+json,application/td+json
tei+xml,application/tei+xml
TETRA_ISI,application/TETRA_ISI
thraud+xml,application/thraud+xml
timestamp-query,application/timestamp-query
timestamp-reply,application/timestamp-reply
timestamped-data,application/timestamped-data
tlsrpt+gzip,application/tlsrpt+gzip
tlsrpt+json,application/tlsrpt+json
tnauthlist,application/tnauthlist
token-introspection+jwt,application/token-introspection+jwt
trickle-ice-sdpfrag,application/trickle-ice-sdpfrag
trig,application/trig
ttml+xml,application/ttml+xml
tve-trigger,application/tve-trigger
tzif,application/tzif
tzif-leap,application/tzif-leap
ulpfec,application/ulpfec
urc-grpsheet+xml,application/urc-grpsheet+xml
urc-ressheet+xml,application/urc-ressheet+xml
urc-targetdesc+xml,application/urc-targetdesc+xml
urc-uisocketdesc+xml,application/urc-uisocketdesc+xml
vcard+json,application/vcard+json
vcard+xml,application/vcard+xml
vemmi,application/vemmi
voicexml+xml,application/voicexml+xml
voucher-cms+json,application/voucher-cms+json
vq-rtcpxr,application/vq-rtcpxr
wasm,application/wasm
watcherinfo+xml,application/watcherinfo+xml
webpush-options+json,application/webpush-options+json
whoispp-query,application/whoispp-query
whoispp-response,application/whoispp-response
widget,application/widget
wita,application/wita
wordperfect5.1,application/wordperfect5.1
wsdl+xml,application/wsdl+xml
wspolicy+xml,application/wspolicy+xml
x-pki-message,application/x-pki-message
x-www-form-urlencoded,application/x-www-form-urlencoded
x-x509-ca-cert,application/x-x509-ca-cert
x-x509-ca-ra-cert,application/x-x509-ca-ra-cert
x-x509-next-ca-cert,application/x-x509-next-ca-cert
x400-bp,application/x400-bp
xacml+xml,application/xacml+xml
xcap-att+xml,application/xcap-att+xml
xcap-caps+xml,application/xcap-caps+xml
xcap-diff+xml,application/xcap-diff+xml
xcap-el+xml,application/xcap-el+xml
xcap-error+xml,application/xcap-error+xml
xcap-ns+xml,application/xcap-ns+xml
xcon-conference-info-diff+xml,application/xcon-conference-info-diff+xml
xcon-conference-info+xml,application/xcon-conference-info+xml
xenc+xml,application/xenc+xml
xhtml+xml,application/xhtml+xml
xliff+xml,application/xliff+xml
xml,application/xml
xml-dtd,application/xml-dtd
xml-external-parsed-entity,application/xml-external-parsed-entity
xml-patch+xml,application/xml-patch+xml
xmpp+xml,application/xmpp+xml
xop+xml,application/xop+xml
xslt+xml,application/xslt+xml
xv+xml,application/xv+xml
yang,application/yang
yang-data+json,application/yang-data+json
yang-data+xml,application/yang-data+xml
yang-patch+json,application/yang-patch+json
yang-patch+xml,application/yang-patch+xml
yin+xml,application/yin+xml
zip,application/zip
zlib,application/zlib
zstd,application/zstd
txt,text/plain
1d-interleaved-parityfec,audio/1d-interleaved-parityfec
32kadpcm,audio/32kadpcm
3gpp,audio/3gpp
3gpp2,audio/3gpp2
aac,audio/aac
ac3,audio/ac3
AMR,audio/AMR
AMR-WB,audio/AMR-WB
amr-wb+,audio/amr-wb+
aptx,audio/aptx
asc,audio/asc
ATRAC-ADVANCED-LOSSLESS,audio/ATRAC-ADVANCED-LOSSLESS
ATRAC-X,audio/ATRAC-X
ATRAC3,audio/ATRAC3
basic,audio/basic
BV16,audio/BV16
BV32,audio/BV32
clearmode,audio/clearmode
CN,audio/CN
DAT12,audio/DAT12
dls,audio/dls
dsr-es201108,audio/dsr-es201108
dsr-es202050,audio/dsr-es202050
dsr-es202211,audio/dsr-es202211
dsr-es202212,audio/dsr-es202212
DV,audio/DV
DVI4,audio/DVI4
eac3,audio/eac3
encaprtp,audio/encaprtp
EVRC,audio/EVRC
EVRC-QCP,audio/EVRC-QCP
EVRC0,audio/EVRC0
EVRC1,audio/EVRC1
EVRCB,audio/EVRCB
EVRCB0,audio/EVRCB0
EVRCB1,audio/EVRCB1
EVRCNW,audio/EVRCNW
EVRCNW0,audio/EVRCNW0
EVRCNW1,audio/EVRCNW1
EVRCWB,audio/EVRCWB
EVRCWB0,audio/EVRCWB0
EVRCWB1,audio/EVRCWB1
EVS,audio/EVS
example,audio/example
flexfec,audio/flexfec
fwdred,audio/fwdred
G711-0,audio/G711-0
G719,audio/G719
G7221,audio/G7221
G722,audio/G722
G723,audio/G723
G726-16,audio/G726-16
G726-24,audio/G726-24
G726-32,audio/G726-32
G726-40,audio/G726-40
G728,audio/G728
G729,audio/G729
G7291,audio/G7291
G729D,audio/G729D
G729E,audio/G729E
GSM,audio/GSM
GSM-EFR,audio/GSM-EFR
GSM-HR-08,audio/GSM-HR-08
iLBC,audio/iLBC
ip-mr_v2.5,audio/ip-mr_v2.5
L8,audio/L8
L16,audio/L16
L20,audio/L20
L24,audio/L24
LPC,audio/LPC
MELP,audio/MELP
MELP600,audio/MELP600
MELP1200,audio/MELP1200
MELP2400,audio/MELP2400
mhas,audio/mhas
mobile-xmf,audio/mobile-xmf
MPA,audio/MPA
mp4,audio/mp4
MP4A-LATM,audio/MP4A-LATM
mpa-robust,audio/mpa-robust
mpeg,audio/mpeg
mpeg4-generic,audio/mpeg4-generic
ogg,audio/ogg
opus,audio/opus
parityfec,audio/parityfec
PCMA,audio/PCMA
PCMA-WB,audio/PCMA-WB
PCMU,audio/PCMU
PCMU-WB,audio/PCMU-WB
prs.sid,audio/prs.sid
QCELP,audio/QCELP
raptorfec,audio/raptorfec
RED,audio/RED
rtp-enc-aescm128,audio/rtp-enc-aescm128
rtploopback,audio/rtploopback
rtp-midi,audio/rtp-midi
rtx,audio/rtx
scip,audio/scip
SMV,audio/SMV
SMV0,audio/SMV0
SMV-QCP,audio/SMV-QCP
sofa,audio/sofa
sp-midi,audio/sp-midi
speex,audio/speex
t140c,audio/t140c
t38,audio/t38
telephone-event,audio/telephone-event
TETRA_ACELP,audio/TETRA_ACELP
TETRA_ACELP_BB,audio/TETRA_ACELP_BB
tone,audio/tone
TSVCIS,audio/TSVCIS
UEMCLIP,audio/UEMCLIP
ulpfec,audio/ulpfec
usac,audio/usac
VDVI,audio/VDVI
VMR-WB,audio/VMR-WB
vorbis,audio/vorbis
vorbis-config,audio/vorbis-config
collection,font/collection
otf,font/otf
sfnt,font/sfnt
ttf,font/ttf
woff,font/woff
woff2,font/woff2
aces,image/aces
avci,image/avci
avcs,image/avcs
avif,image/avif
bmp,image/bmp
cgm,image/cgm
dicom-rle,image/dicom-rle
emf,image/emf
example,image/example
fits,image/fits
g3fax,image/g3fax
gif,
heic,image/heic
heic-sequence,image/heic-sequence
heif,image/heif
heif-sequence,image/heif-sequence
hej2k,image/hej2k
hsj2,image/hsj2
ief,
jls,image/jls
jp2,image/jp2
jpeg,image/jpeg
jpg, image/jpeg
jph,image/jph
jphc,image/jphc
jpm,image/jpm
jpx,image/jpx
jxr,image/jxr
jxrA,image/jxrA
jxrS,image/jxrS
jxs,image/jxs
jxsc,image/jxsc
jxsi,image/jxsi
jxss,image/jxss
ktx,image/ktx
ktx2,image/ktx2
naplps,image/naplps
png,image/png
prs.btif,image/prs.btif
prs.pti,image/prs.pti
pwg-raster,image/pwg-raster
svg+xml,image/svg+xml
t38,image/t38
tiff,image/tiff
tiff-fx,image/tiff-fx
wmf,image/wmf
x-emf - DEPRECATED in favor of image/emf,image/emf
x-wmf - DEPRECATED in favor of image/wmf,image/wmf
CPIM,message/CPIM
delivery-status,message/delivery-status
disposition-notification,message/disposition-notification
example,message/example
external-body,
feedback-report,message/feedback-report
global,message/global
global-delivery-status,message/global-delivery-status
global-disposition-notification,message/global-disposition-notification
global-headers,message/global-headers
http,message/http
imdn+xml,message/imdn+xml
news (OBSOLETED by ),message/news
partial,
rfc822,
s-http (OBSOLETE),message/s-http
sip,message/sip
sipfrag,message/sipfrag
tracking-status,message/tracking-status
3mf,model/3mf
e57,model/e57
example,model/example
gltf-binary,model/gltf-binary
gltf+json,model/gltf+json
iges,model/iges
mesh,
mtl,model/mtl
obj,model/obj
step,model/step
step+xml,model/step+xml
step+zip,model/step+zip
step-xml+zip,model/step-xml+zip
stl,model/stl
vrml,
x3d-vrml,model/x3d-vrml
x3d+fastinfoset,model/x3d+fastinfoset
x3d+xml,model/x3d+xml
alternative,
appledouble,multipart/appledouble
byteranges,multipart/byteranges
digest,
encrypted,multipart/encrypted
example,multipart/example
form-data,multipart/form-data
header-set,multipart/header-set
mixed,
multilingual,multipart/multilingual
parallel,
related,multipart/related
report,multipart/report
signed,multipart/signed
voice-message,multipart/voice-message
x-mixed-replace,multipart/x-mixed-replace
1d-interleaved-parityfec,text/1d-interleaved-parityfec
cache-manifest,text/cache-manifest
calendar,text/calendar
cql,text/cql
cql-expression,text/cql-expression
cql-identifier,text/cql-identifier
css,text/css
csv,text/csv
csv-schema,text/csv-schema
directory - DEPRECATED by RFC6350,text/directory
dns,text/dns
ecmascript (OBSOLETED in favor of application/ecmascript),text/ecmascript
encaprtp,text/encaprtp
enriched,
example,text/example
fhirpath,text/fhirpath
flexfec,text/flexfec
fwdred,text/fwdred
gff3,text/gff3
grammar-ref-list,text/grammar-ref-list
html,text/html
javascript (OBSOLETED in favor of application/javascript),text/javascript
jcr-cnd,text/jcr-cnd
markdown,text/markdown
mizar,text/mizar
n3,text/n3
parameters,text/parameters
parityfec,text/parityfec
plain,
provenance-notation,text/provenance-notation
